new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1cccc(F)c1)[O]2,0.8314442968199621,974.2396057,6200,30,8,1,72
C[N+]1=C(c2c(F)c(F)c(F)c(F)c2F)c2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8312069746528087,971.0505709,6200,60,8,1,72
CCCCCC[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C(C)=[N+]2C,0.8306090110046035,963.0615986,9400,60,8,1,40
[Cl][Hf-2]12([Cl])([O]c3ccccc3C=[N+]1Cc1ccc3ccccc3c1)[O]c1ccccc1C=[N+]2c1ccccc1,0.830574931452125,962.6082705,9400,30,4,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc31)[O]c1ccccc1C(Cc1ccccc1)=[N+]2c1ccccc1,0.8303721706308651,959.9155429,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2ccc(F)cc2C=[N+]1c1ccccc1,0.8302669709275565,958.5214268,6200,50,10,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2Cc1ccccc1F,0.8301797702819029,957.3673708,6200,60,8,1,72
Cc1cccc(C)c1C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8298066109704241,952.4444727,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](CF)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1C)[O]2,0.8294940383637142,948.3403519,700,50,8,1,72
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(C)c(C)c(C)c(C)c1C)=[N+]2c1ccccc1,0.8291973337834214,944.4609425,9400,30,10,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]C(F)CC=[N+]2c1ccccc1,0.8291949740094493,944.4301522,6200,60,8,1,72
CCCCc1ccccc1[N+]1=C(C)CC[O][Zr-2]12([Cl])([Cl])[O]CCC(C)=[N+]2c1ccccc1,0.8291480881366643,943.8185935,9400,60,8,1,40
Cc1ccc2c(c1)[O][Zr-2]1([Cl])([Cl])([O]c3ccc(F)cc3C=[N+]1c1ccccc1)[N+](c1ccccc1)=C2,0.8291004914250552,943.198168,9400,60,8,1,40
Cc1cccc2c1C(c1c(F)c(F)c(F)c(F)c1F)=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1C)[O]2,0.8289541615792186,941.2933044,6200,60,8,1,72
C[N+]1=Cc2cc(F)ccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8287456959340744,938.586224,6200,60,10,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C(c3cccc(F)c3F)=[N+]2C)[O]c2ccccc21,0.8285902021672745,936.572093,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1cccc(F)c1)=[N+]2c1ccccc1,0.8283605598658363,933.605409,6200,60,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]CCC=[N+]1c1ccccc1)[O]2,0.8275693339028135,923.4555663,9400,60,8,1,40
Cc1ccc2c(c1)C=[N+](C)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1CF)[O]2,0.8272616133583373,919.5379978,700,50,8,1,72
CC1=[N+](c2ccccc2)[Ti-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(C)cc(C)cc1C)=[N+]2c1ccccc1,0.8271053220158097,917.5546323,1300,60,8,1,22
CC1=[N+](c2ccccc2)[Ti-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1ccc(C)c(C)c1C)=[N+]2c1ccccc1,0.8270447742274935,916.78742,1300,60,8,1,22
CC1=[N+](c2ccccc2F)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8270333550152218,916.642797,6200,60,8,1,72
CCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C(C)C1,0.8268037315775053,913.7394791,9400,60,8,1,72
Cc1cc(C)c(-c2c(C)cc(C)c3c2C=[N+](C)[Zr-2]2([Cl])([Cl])([O]c4c(C)cc(C)cc4C=[N+]2c2ccccc2)[O]3)c(C)c1,0.8265945869853163,911.103095,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1C,0.8258106381165696,901.2884979,9400,30,8,1,72
CCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]C(C)CC=[N+]2c1ccccc1,0.825688945899554,899.7744886,9400,60,8,1,72
CCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]C(C)CC=[N+]2c2ccccc2)[O]C(C)C1,0.8256560231365266,899.3653239,9400,60,10,1,72
CC1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8252478974314514,894.3085536,9400,60,10,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(C)=[N+]2c1ccc(F)cc1,0.8251794575822514,893.4633564,6200,60,8,1,72
CCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8251007539120964,892.4923936,9400,60,8,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1cccc(F)c1,0.8250728575308026,892.1484909,6200,60,10,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3c(C)cccc3C=[N+]1c1ccccc1)[O]2,0.8250116312109771,891.3941658,9400,30,8,1,72
Cc1ccc2c(c1)[O][Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1cc(C(C)C)cc(C(C)C)c1)[N+](c1ccccc1)=C2,0.8247956836259156,888.7387202,9400,30,8,1,72
CC1=[N+](c2ccccc2Cc2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]c2ccccc21,0.8245624244230828,885.8792852,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1ccccc1C(C)(C)C)[O]2,0.8244958287697126,885.0646041,9400,30,8,1,40
Cc1cccc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)c1,0.8242568069565601,882.1467567,9400,30,8,1,72
CC(C)(C)c1ccc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.8241338905697361,880.6500081,9400,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(F)=[N+]2c1ccccc1,0.8240099952382938,879.1439088,6200,60,10,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1cc(F)c(F)c(F)c1)=[N+]2c1ccccc1,0.8239173387750803,878.0192399,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(C)=[N+]2c1ccccc1F,0.823808553487158,876.7006346,6200,60,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2F)[O]CC1,0.8237022703156518,875.4142704,6200,60,8,1,72
CC1(F)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1,0.8236311423462994,874.5544503,6200,60,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1c(C)c(C)c(C)c(C)c1C)[O]2,0.8236279002009176,874.5152782,800,30,8,1,72
CC1(C)CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8235473754472146,873.5429291,9400,60,10,1,72
CC1=[N+](C)[Co-3]2([Cl])([Cl])[N+](C)=C3CCCc4cc(C(C)C)c1[n+]2c43,0.8233502310573426,871.1669407,1300,60,8,1,27
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C(c3c(F)cccc3F)=[N+]2C)[O]c2ccccc21,0.8231703661582063,869.0048433,6200,30,8,1,72
C[N+]1=Cc2ccc(F)cc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.823052342963559,867.5890414,6200,60,10,1,72
CCCCC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8229687761402386,866.587972,9400,60,8,1,72
CC1(F)CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8226099396743044,862.3024858,6200,60,10,1,72
CCCCCCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC(C)=[N+]2c2ccccc2)[O]CC1,0.8226097991068109,862.3008112,9400,60,10,1,40
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]1)[O]C(C)CC=[N+]2c1ccccc1,0.8225912573732621,862.0799494,9400,60,10,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2CF,0.8222339942917415,857.8354032,700,50,10,1,72
Cc1cccc([N+]2=Cc3cc(C)cc(C)c3[O][Hf-2]23([Cl])([Cl])[O]c2c(C)cc(C)cc2C=[N+]3c2ccccc2)c1,0.8222339111737181,857.8344181,9400,30,8,1,72
Cc1cc2c(cc1F)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[O]2,0.8221932204778634,857.3523111,6200,50,8,1,72
CCCCCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC(C)=[N+]2c2ccccc2)[O]CC1,0.8221160350632606,856.4385556,9400,30,8,1,72
CC(C)(C)c1ccccc1C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8219947785861782,855.0050336,9400,30,8,1,72
CCCC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8219920480773206,854.9727805,9400,60,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CC(c1ccc3ccccc3c1)C(C)=[N+]2c1ccccc1,0.8218630082785475,853.449935,9400,30,4,1,72
Cc1ccc([N+]2=Cc3cc(C)cc(C)c3[O][Hf-2]23([Cl])([Cl])[O]c2c(C)cc(C)cc2C=[N+]3c2ccccc2)cc1,0.8212091171103694,845.7747251,9400,30,8,1,72
Cc1cc(C)c(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]C2)[O]c2ccccc2C=[N+]3c2ccccc2)c(C)c1,0.8210471184360101,843.8839181,9400,60,10,1,40
[H]c1ccccc1[N+]1=C(C)CC[O][Zr-2]12([Cl])([Cl])[O]CCC=[N+]2c1ccccc1,0.8208403852724441,841.4771195,9400,60,10,1,40
CCC1=[N+](c2ccccc2)[Fe-3]2([Cl])([Cl])[N+](c3ccccc3)=C(CC)c3cc(C(C)C)cc1[n+]32,0.8208379987632958,841.4493758,1300,75,6,1,26
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc31)[O]c1cccc(F)c1C=[N+]2C,0.820460634666575,837.0739138,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C(F)C1,0.8203821060078507,836.1662535,6200,60,8,1,72
Cc1c(C)c(C)c(C[N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3C)c(C)c1C,0.8201967002105574,834.0271747,9400,60,8,1,40
FCC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8201626633345879,833.6350766,6200,60,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1c1ccccc1F,0.8201489607246784,833.4772773,6200,30,8,1,72
CCCCC1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8200672854285543,832.5373237,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1ccccc1F)=[N+]2c1ccccc1,0.8198503728204091,830.046145,6200,30,8,1,72
[H]CC1CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C(C)CC=[N+]2c2ccccc2)[O]1,0.8192279734777833,822.9393721,9400,60,10,1,40
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccc(F)cc1,0.8191898721298041,822.5062994,6200,60,10,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)c(F)c2C=[N+]1C,0.8188187999777974,818.3004686,6200,60,8,1,72
C[N+]1=C(F)c2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccccc1,0.8179121311078946,808.1142902,6200,60,10,1,72
Cc1cccc2c1C=[N+](C)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C(F)=[N+]1C)[O]2,0.8177299997627308,806.0834389,700,60,10,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]CCC=[N+]1c1ccccc1)[O]2,0.8176736980310866,805.456681,9400,60,8,1,72
Cc1c(C)c(C)c(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]CC(C)C=[N+]3c3ccccc3)[O]C2)c(C)c1C,0.8176485623180231,805.1770245,9400,30,10,1,40
CCCCCC1=[N+](C)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C(C)=[N+]2C)[O]c2ccccc21,0.8172518854091503,800.7764868,9400,30,10,1,72
Cc1cc(C)c2c(c1)C=[N+](C)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C(c2c(F)c(F)c(F)c(F)c2F)=[N+]1c1ccccc1,0.8170706341452918,798.7737879,6200,30,8,1,72
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccc(Cc2ccccc2)cc1,0.8170625990279217,798.6851215,9400,30,8,1,72
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]c3ccc(F)cc3C=[N+]1C)[O]2,0.8170546311092088,798.5972064,9400,60,8,1,40
Cc1ccc(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2cccc(C)c2C=[N+]3c2ccccc2)cc1,0.8170269670398993,798.2920463,9400,30,8,1,72
CCC1(C)CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8169098184775534,797.0010818,9400,60,8,1,40
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2ccc(C3CC3)cc2C=[N+]1c1ccccc1,0.8167808091198736,795.5818279,9400,55,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(F)cccc1F)=[N+]2c1ccccc1,0.8167372441943301,795.1031338,9400,60,10,1,40
[H]c1ccccc1[N+]1=CCC[O][Hf-2]12([Cl])([Cl])[O]CCC(C)=[N+]2c1ccccc1,0.8164728217727802,792.2038171,9400,60,10,1,72
CCCCCCC1=[N+](c2ccccc2)[Co-3]2([Cl])([Cl])[N+](c3ccccc3)=C(CC)c3cccc1[n+]32,0.8163816026843792,791.2060803,800,60,1,1,27
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1F,0.8163678566315166,791.0558376,6200,60,8,1,72
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]1)[O]C(C)CC(Cc1ccccc1)=[N+]2c1ccccc1,0.8163566987590031,790.9339044,9400,30,8,1,72
CC1=[N+](c2ccc(C(C)C)cc2)[Fe-3]2([Cl])([Cl])[N+](c3ccc(C(C)C)cc3)=C(C)c3cc(F)cc1[n+]32,0.8163478538750322,790.8372609,1300,60,6,1,26
Cc1cc(C)c(-c2c(C)cc3c(c2C)[O][Zr-2]2([Cl])([Cl])([O]c4c(C)cc(C)cc4C=[N+]2C)[N+](c2ccccc2)=C3)c(C)c1,0.8161791218546535,788.9958722,9400,30,8,1,40
C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccc(C2CCCC2)cc1,0.8157807382875443,784.6652681,9400,50,10,1,40
CCC1CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8156609976647247,783.3682868,9400,60,8,1,40
CC1C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]C1)[O]CC(C)C(c1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8155374332054348,782.0321349,6200,30,8,1,72
Cc1c(C)c(C)c(C[N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)c(C)c1C,0.8154729216764494,781.3354516,9400,50,8,1,40
CCC1=[N+](c2ccccc2)[Fe-3]2([Cl])([Cl])[N+](c3ccccc3)=C(CC)c3cc(CC)cc1[n+]32,0.8154505345891578,781.0938305,1300,75,1,1,26
Cc1cccc([N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]CCC=[N+]3c2ccccc2)c1,0.8153757275013132,780.2869885,9400,60,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CC(F)C=[N+]2c1ccccc1,0.8153669357874485,780.192219,6200,60,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1cccc(F)c1F)=[N+]2c1ccccc1,0.8153379492981672,779.8798434,6200,60,8,1,72
CC1(c2c(F)cccc2F)C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1,0.8153318815942722,779.81447,9400,60,10,1,40
CCCCCC1CC(C)=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8151149945733503,777.4813274,9400,30,8,1,72
CCc1ccccc1[N+]1=C(C)CC[O][Zr-2]12([Cl])([Cl])[O]CCC(C)=[N+]2c1ccccc1,0.8149834437539768,776.0695836,9400,60,8,1,40
Cc1cccc2c1[O][Hf-2]1([Cl])([Cl])([O]c3c(C)cccc3C=[N+]1c1ccccc1F)[N+](c1ccccc1)=C2,0.8148702675180421,774.8570791,6200,30,8,1,72
Cc1cccc2c1C=[N+](Cc1c(C(C)C)cccc1C(C)C)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1C)[O]2,0.8148583735519342,774.7297641,9400,30,10,1,40
CCCCc1ccc([N+]2=C(C)CC[O][Zr-2]23([Cl])([Cl])[O]CCC(C)=[N+]3c2ccccc2)cc1,0.8147980253564909,774.0841092,9400,60,8,1,40
Cc1ccc(C2=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]c4ccccc4C=[N+]3c3ccccc3)[O]c3cc(C)ccc32)c(C)c1,0.8143319896958104,769.116163,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccc(C)cc2)[O]CC1,0.814197834953645,767.6919908,9400,60,8,1,40
CCCCCC[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccc(C)cc1C=[N+]2C,0.8141337986389633,767.0131184,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(C)=[N+]2c1ccccc1C1CCCCC1,0.8139733672302137,765.314961,9400,60,8,1,40
C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C=[N+]2c1ccc(C2CCCCCC2)cc1,0.8139537564130096,765.1076397,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2C)[O]CC1,0.8138964860399829,764.5025111,9400,60,8,1,40
C[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]c1ccccc1C(F)=[N+]2C,0.8138799511879056,764.3278901,700,60,10,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2C)[O]c2cccc(-c3c(C(C)C)cccc3C(C)C)c21,0.8137701762534213,763.1695914,9400,30,8,1,72
FC1C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]C1)[O]c1ccccc1C=[N+]2c1ccccc1,0.8135159213484427,760.4935379,6200,60,10,1,72
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1c(C)c(C)c(C)c(C)c1C)=[N+]2c1ccccc1,0.8133904234701106,759.1761235,9400,30,10,1,40
CC1CC=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]1)[O]C(C)(C)CC=[N+]2c1ccccc1,0.8133032045838502,758.2618873,9400,60,10,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(C1CCCCCCC1)=[N+]2c1ccccc1,0.8132475810270601,757.6794113,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(C)cc(C)cc1C)=[N+]2c1ccccc1,0.8131647449569614,756.8128018,9400,30,10,1,40
[H]c1ccccc1[N+]1=CCC[O][Zr-2]12([Cl])([Cl])[O]C(C)CC=[N+]2c1ccccc1,0.813131180487113,756.4619413,9400,60,10,1,40
Cc1cccc2c1C=[N+](C)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1c(C(C)C)cccc1C(C)C)[O]2,0.8130681379577,755.8033765,9400,30,10,1,40
[H]c1ccc([N+]2=C(C)CC[O][Hf-2]23([Cl])([Cl])[O]CCC(C)=[N+]3c2ccccc2)cc1,0.8130371692637164,755.4800764,1300,60,10,1,72
Cc1cccc2c1C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccc(F)cc3C=[N+]1C)[O]2,0.8129860469374859,754.9466836,9400,60,8,1,40
Cc1cc(C)c(C[N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)c(C)c1,0.8128476595451909,753.5046856,9400,30,8,1,72
CC1CC(F)=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]1,0.8124950394106201,749.8428185,6200,60,10,1,72
Cc1ccccc1[N+]1=Cc2ccccc2[O][Hf-2]12([Cl])([Cl])[O]CCC=[N+]2c1ccccc1,0.8124395953967473,749.2686683,9400,60,8,1,72
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(C1CCCC1)=[N+]2c1ccccc1,0.8123517689551063,748.3600817,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2cccc(C)c2)[O]CC1,0.8123329334193907,748.1653669,9400,60,8,1,40
Cc1ccc([N+]2=CCC[O][Zr-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.8122726428398042,747.5424456,9400,60,8,1,40
CC1=[N+](C)[Hf-2]2([Cl])([Cl])([O]c3ccccc31)[O]c1ccccc1C(c1c(F)c(F)c(F)c(F)c1F)=[N+]2C,0.8121987680119079,746.7798792,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1cc(C)c(C)c(C)c1)=[N+]2c1ccccc1,0.8121819158229073,746.606033,1300,30,8,1,72
[H]C1C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1C,0.8121463296825625,746.2390613,9400,60,10,1,72
CC1C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]C1)[O]CC(C1CCCC1)C=[N+]2c1ccccc1,0.8121281168683656,746.0513167,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(C)=[N+]2c1ccc(CCCc2ccccc2)cc1,0.8120710397230388,745.4632499,9400,30,8,1,72
C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccc(F)cc1C=[N+]2c1ccccc1,0.811993093593402,744.6609183,9400,60,10,1,40
CC1(F)C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1,0.811992805092234,744.6579502,9400,60,8,1,40
Cc1ccc([N+]2=Cc3ccccc3[O][Zr-2]23([Cl])([Cl])[O]CCC=[N+]3c2ccccc2)cc1,0.8117957527000087,742.6334657,9400,60,8,1,40
CCc1ccccc1[N+]1=C(C)CC[O][Hf-2]12([Cl])([Cl])[O]CCC(C)=[N+]2c1ccccc1,0.8116848476446014,741.4964666,9400,60,8,1,72
CCCc1ccc([N+]2=Cc3ccccc3[O][Hf-2]23([Cl])([Cl])[O]c2ccccc2C=[N+]3c2ccccc2)cc1,0.811554765714395,740.1650842,9400,30,8,1,72
Fc1cccc(F)c1CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8114435747570514,739.0289452,9400,60,8,1,40
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1cc(C(C)C)cc(C(C)C)c1)[O]2,0.811395141489073,738.5346039,9400,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(c1c(C)cc(C)cc1C)=[N+]2c1ccccc1,0.8111259118380707,735.7926937,1300,30,8,1,72
CCCCCC1=[N+](c2ccccc2)[Ni-3]2([Cl])([Cl])[N+](c3ccccc3)=C(CC)c3cccc1[n+]32,0.8110788671807291,735.3146236,800,60,1,1,28
CC1=[N+](Cc2ccc(C)c(C)c2C)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2C)[O]c2ccccc21,0.8110445421684173,734.9660071,9400,30,10,1,40
