new_catalysts,best_predicted_activity,true_activity,Al/M,T,P,t,metal
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)c(-c3c(F)c(F)c(F)c(F)c3F)c2C=[N+]1C,0.9081793679153388,2812.39429,900,30,8,1,40
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(cccc2-c2cccc(C(C)C)c2C(C)C)C=[N+]1c1ccccc1,0.9040833422437996,2657.663877,9400,30,8,1,40
[Cl][Zr-2]12([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[O]c1ccccc1C=[N+]2c1ccc(C2CCCCCCC2)cc1,0.9040786757092364,2657.492541,9400,45,8,1,40
CC(C)(C)c1ccc(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]CCC=[N+]3c3ccccc3)[O]C2)cc1,0.9030544131193188,2620.151954,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccc(C(C)C)cc1,0.90260399447794,2603.897993,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2Cc2c(C(C)C)cccc2C(C)C)[O]c2ccccc21,0.8993967459148735,2491.038705,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2Cc2c(C)c(C)c(C)c(C)c2C)[O]c2ccccc21,0.8977462749477585,2434.880489,9400,30,8,1,40
CC1CC=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]1)[O]C(C)CC(c1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8953851606986214,2356.736154,6200,30,8,1,72
Cc1cc(C)c2c(c1)C=[N+](Cc1ccccc1C(C)(C)C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1,0.8953027238472746,2354.053578,9400,30,10,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1C(C)C,0.8925309759287562,2265.613666,9400,30,10,1,40
Cc1cc(C)c2c(c1)C=[N+](C)[Hf-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1Cc1c(F)c(F)c(F)c(F)c1F,0.8875197207943708,2114.064944,6200,30,8,1,72
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(CCCc3ccccc3)cc2C=[N+]1C,0.8834436675038227,1998.306058,9400,30,8,1,40
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(CCCc3ccccc3)cc2C=[N+]1c1ccccc1,0.8830855652225985,1988.444123,9400,30,8,1,40
C[N+]1=Cc2ccccc2[O][Zr-2]12([Cl])([Cl])[O]c1ccccc1C(c1ccccc1C(C)(C)C)=[N+]2c1ccccc1,0.8828765920614501,1982.711622,9400,30,10,1,40
Cc1cc(C)c(-c2c(C)cc3c(c2C)[O][Zr-2]2([Cl])([Cl])([O]c4c(C)cc(C)cc4C=[N+]2c2ccccc2)[N+](c2ccccc2)=C3)c(C)c1,0.8828682242039904,1982.482422,9400,30,10,1,40
CC(C)c1cccc(C(C)C)c1CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2c2ccccc2)[O]c2ccccc21,0.8826498773595657,1976.51113,9400,30,8,1,72
CC(C)c1cccc(C2(C)C=[N+](c3ccccc3)[Zr-2]3([Cl])([Cl])([O]CCC=[N+]3c3ccccc3)[O]C2)c1C(C)C,0.8824321831531763,1970.575591,9400,30,1,1,40
Cc1cc(C)c2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1cccc(C23CC4CC(CC(C4)C2)C3)c1,0.8810882817921356,1934.326095,9400,30,10,1,40
CC(C)c1cccc(C(C)C)c1C1(C)C=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]C1,0.8802668150048906,1912.497561,9400,30,1,1,40
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1c(F)c(F)c(F)c(F)c1F)=[N+]2c1ccccc1,0.8791750925297768,1883.868373,6200,30,8,1,72
CC1=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c3ccccc31)[O]c1ccccc1C(c1cccc(C(C)C)c1C(C)C)=[N+]2c1ccccc1,0.878339531693921,1862.246601,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1c(C(C)C)cccc1C(C)C)[O]2,0.8773238789015526,1836.298474,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2Cc2ccc(C(C)(C)C)cc2)[O]c2ccccc21,0.8719866784552186,1705.768424,9400,30,8,1,40
[Cl][Zr-2]12([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[O]c1ccccc1C=[N+]2c1ccc(C2CCCCCC2)cc1,0.8680690702546399,1615.899779,9400,45,8,1,40
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1C1CCCCCC1,0.8638903362672279,1525.253456,9400,50,8,1,40
Cc1cc(C)c2c(c1)C=[N+](C)[Zr-2]1([Cl])([Cl])([O]2)[O]c2c(C)cc(C)cc2C=[N+]1c1ccccc1C1CCCCCCC1,0.8636041313248912,1519.234408,9400,50,8,1,40
Cc1cc(C)c(-c2cc(C)c3c(c2)C=[N+](c2ccccc2)[Hf-2]2([Cl])([Cl])([O]c4ccc(C)cc4C=[N+]2c2ccccc2)[O]3)c(C)c1,0.8620593670953641,1487.154887,9400,30,8,1,72
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1Cc1c(C)c(C)c(C)c(C)c1C)[O]2,0.8620545759950102,1487.056453,9400,30,8,1,40
CCCC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CCC=[N+]2c2ccccc2)[O]CC1,0.8608458004342313,1462.429041,9400,60,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]c3ccccc3C=[N+]2Cc2ccccc2C(C)(C)C)[O]c2ccccc21,0.8586044197540749,1417.837695,9400,30,8,1,40
Cc1ccc2c(c1)C=[N+](c1ccccc1)[Zr-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccc(Cc3ccccc3)cc1)[O]2,0.8580748529577453,1407.502315,9400,30,8,1,40
CC1=[N+](c2ccccc2)[Zr-2]2([Cl])([Cl])([O]CC1)[O]CCC(Cc1cccc(C(C)C)c1C(C)C)=[N+]2c1ccccc1,0.8574636284130469,1395.666873,9400,30,10,1,40
Cc1cc2c(cc1Cc1ccccc1)[O][Hf-2]1([Cl])([Cl])([O]c3ccccc3C=[N+]1c1ccccc1)[N+](c1ccccc1)=C2,0.8560018224600762,1367.763263,9400,30,8,1,72
